,artists,genres,Artist Popularity
1003,Aqua Timez,"[""'j-idol'"", ""'j-pop'"", ""'j-poprock'"", ""'j-rock'""]",52
1004,Aqualung,"[""'piano rock'"", ""'southampton indie'""]",47
1005,Aquarian Dream,"[""'jazz funk'"", ""'rare groove'""]",32
1006,Aquilo,"[""'indie anthem-folk'"", ""'indie cafe pop'"", ""'vapor soul'""]",60
1007,Aracy de Almeida,"[""'choro'"", ""'samba'"", ""'velha guarda'""]",0
1008,Aram Khachaturian,"[""'classical'"", ""'early modern classical'"", ""'russian modern classical'""]",11
1009,Arawak,"[""'italian library music'"", ""'library music'""]",33
1010,Arc Angels,"[""'blues rock'"", ""'southern rock'"", ""'texas blues'""]",35
1011,Arcade Fire,"[""'alternative dance'"", ""'alternative rock'"", ""'baroque pop'"", ""'canadian indie'"", ""'dance-punk'"", ""'indie pop'"", ""'indie rock'"", ""'modern rock'"", ""'new rave'"", ""'permanent wave'"", ""'quebec indie'"", ""'rock'""]",54
1012,Arcade High,"[""'synthwave'""]",51
1013,Arcadi Volodos,"[""'classical performance'"", ""'classical piano'""]",1
1014,Arcadia,"[""'indiecoustica'"", ""'stomp and holler'""]",30
1015,Arcangel,"[""'latin'"", ""'latin hip hop'"", ""'reggaeton'"", ""'trap latino'"", ""'tropical'""]",59
1016,Arcangelo Corelli,"[""'baroque'"", ""'classical'"", ""'early music'"", ""'italian baroque'""]",26
1017,Arch Enemy,"[""'alternative metal'"", ""'death metal'"", ""'melodic death metal'"", ""'metal'"", ""'nu metal'"", ""'power metal'"", ""'slayer'"", ""'swedish death metal'"", ""'swedish metal'""]",58
1018,Archers Of Loaf,"[""'alternative pop'"", ""'alternative rock'"", ""'emo'"", ""'emo punk'"", ""'gbvfi'"", ""'indie punk'"", ""'indie rock'"", ""'lo-fi'"", ""'post-hardcore'"", ""'slow core'"", ""'triangle indie'""]",35
1019,Archibald MacLeish,"[""'poetry'""]",1
1020,Archie,"[""'brill building pop'"", ""'bubblegum pop'"", ""'classic canadian rock'"", ""'folk rock'""]",46
1021,Archie Bell & The Drells,"[""'classic soul'"", ""'disco'"", ""'motown'"", ""'northern soul'"", ""'philly soul'"", ""'quiet storm'"", ""'rhythm and blues'"", ""'soul'"", ""'southern soul'""]",33
1022,Archie Eversole,"[""'atl hip hop'""]",46
1023,Archie James Cavanaugh,"[""'yacht rock'""]",40
1024,Archie Shepp,"[""'avant-garde jazz'"", ""'bebop'"", ""'contemporary post-bop'"", ""'cool jazz'"", ""'free improvisation'"", ""'free jazz'"", ""'hard bop'"", ""'jazz'"", ""'jazz funk'"", ""'jazz saxophone'"", ""'soul jazz'""]",25
1025,Archive,"[""'afrofuturism'"", ""'alternative r&b'"", ""'art pop'"", ""'escape room'"", ""'indie r&b'"", ""'indie soul'"", ""'la pop'""]",51
1026,Arctic Monkeys,"[""'garage rock'"", ""'modern rock'"", ""'permanent wave'"", ""'rock'"", ""'sheffield indie'""]",53
1027,Ardyn,"[""'uk alternative pop'""]",60
1028,Aref,"[""'classic persian pop'""]",38
1029,Arena Hash,"[""'classic peruvian pop'"", ""'peruvian rock'""]",52
1030,Aretha Franklin,"[""'classic soul'"", ""'jazz blues'"", ""'memphis soul'"", ""'soul'"", ""'southern soul'""]",30
1031,Argent,"[""'art rock'"", ""'blues rock'"", ""'classic rock'"", ""'progressive rock'"", ""'psychedelic rock'"", ""'symphonic rock'""]",38
1032,Arghya Sen,"[""'rabindra sangeet'""]",0
1033,Ari Lennox,"[""'alternative r&b'"", ""'dmv rap'"", ""'indie r&b'"", ""'neo soul'"", ""'pop'"", ""'r&b'"", ""'urban contemporary'""]",64
1034,Ari Naman,"[""'background music'""]",60
1035,Aria,"[""'dance pop'"", ""'pop'"", ""'post-teen pop'""]",31
1036,Ariana Grande,"[""'dance pop'"", ""'pop'"", ""'post-teen pop'""]",67
1037,Aric Lavie,"[""'classic israeli pop'""]",38
1038,Ariel Camacho y Los Plebes Del Rancho,"[""'banda'"", ""'regional mexican pop'""]",56
1039,Ariel Pink,"[""'alternative dance'"", ""'alternative rock'"", ""'art pop'"", ""'chillwave'"", ""'experimental pop'"", ""'freak folk'"", ""'indie garage rock'"", ""'indie pop'"", ""'la indie'"", ""'lo-fi'"", ""'neo-psychedelic'"", ""'new rave'"", ""'new weird america'"", ""'nu gaze'""]",56
1040,Ariel Ramírez,"[""'latin classical'""]",47
1041,Ariel Rivera,"[""'classic opm'"", ""'opm'"", ""'pinoy rock'"", ""'soft rock'""]",52
1042,Aries,"[""'emo rap'"", ""'pop rap'""]",66
1043,Arijit Singh,"[""'desi pop'"", ""'filmi'"", ""'modern bollywood'""]",0
1044,Arik Einstein,"[""'classic israeli pop'"", ""'israeli pop'"", ""'israeli rock'"", ""'israeli singer-songwriter'""]",38
1045,Arik Sinai,"[""'classic israeli pop'""]",38
1046,Arin Ray,"[""'alternative r&b'"", ""'deep pop r&b'"", ""'indie r&b'"", ""'trap soul'""]",62
1047,Arizona Zervas,"[""'pop rap'""]",75
1048,Ark Patrol,"[""'vapor soul'"", ""'vapor twitch'""]",65
1049,Arlie,"[""'indie pop'"", ""'modern rock'""]",61
1050,Arlo Guthrie,"[""'country rock'"", ""'folk'"", ""'folk rock'"", ""'mellow gold'"", ""'roots rock'"", ""'singer-songwriter'"", ""'traditional folk'""]",29
1051,Arlo Parks,"[""'alternative r&b'"", ""'indie r&b'"", ""'indie soul'"", ""'uk contemporary r&b'"", ""'vapor soul'""]",66
1052,Armand Bégué,"[""'guidance'"", ""'language'""]",15
1053,Armand Van Helden,"[""'deep groove house'"", ""'deep house'"", ""'disco house'"", ""'edm'"", ""'electro house'"", ""'house'"", ""'speed garage'"", ""'uk dance'"", ""'vocal house'""]",54
1054,Armando Manzanero,"[""'bolero'"", ""'cancion melodica'"", ""'cantautor'"", ""'latin'"", ""'latin pop'"", ""'nueva cancion'"", ""'ranchera'"", ""'velha guarda'""]",43
1055,Armando Sciascia,"[""'vintage italian soundtrack'""]",0
1056,Armando Sciascia Orchestra,"[""'vintage italian soundtrack'"", ""'orchestra'""]",23
1057,Armando Trovajoli,"[""'classic soundtrack'"", ""'lounge'"", ""'vintage italian soundtrack'""]",29
1058,Armik,"[""'flamenco'"", ""'flamenco guitar'"", ""'rumba'""]",43
1059,Armin van Buuren,"[""'dutch trance'"", ""'edm'"", ""'progressive house'"", ""'trance'""]",62
1060,Armor For Sleep,"[""'dreamo'"", ""'emo'"", ""'neon pop punk'"", ""'new jersey hardcore'"", ""'new jersey indie'"", ""'pop punk'"", ""'post-hardcore'"", ""'screamo'""]",44
1061,Armored Saint,"[""'hard rock'"", ""'metal'"", ""'neo-trad metal'"", ""'thrash metal'""]",34
1062,Army Of Lovers,"[""'europop'""]",33
1063,Army Of The Pharaohs,"[""'hardcore hip hop'"", ""'philly rap'"", ""'spiritual hip hop'"", ""'underground rap'""]",52
1064,Arne Bendiksen,"[""'classic norwegian pop'""]",15
1065,Arne Domnérus,"[""'jazz saxophone'"", ""'swedish jazz'""]",36
1066,Arnold Bax,"[""'british modern classical'"", ""'early modern classical'""]",0
1067,Arnold Schoenberg,"[""'austro-german modernism'"", ""'avant-garde'"", ""'classical'"", ""'early modern classical'"", ""'post-romantic era'"", ""'serialism'""]",21
1068,"Arnulfo Jr. ""Rey Y As""","[""'grupera'"", ""'norteno'"", ""'tejano'""]",52
1069,AronChupa,"[""'swedish pop'""]",58
1070,Arrested Development,"[""'atl hip hop'"", ""'conscious hip hop'"", ""'hip hop'"", ""'rap'""]",48
1071,Arrigo Boito,"[""'italian opera'"", ""'post-romantic era'""]",2
1072,Arrogant Worms,"[""'comic'"", ""'kingston on indie'""]",37
1073,Arrow,"[""'background music'""]",51
1074,Arrow Benjamin,"[""'uk pop'""]",67
1075,"Ars Cantus - Voci Bianche, Coro e Orchestra Sinfonici","[""'orchestra'""]",0
1076,Arsenal Efectivo,"[""'corrido'"", ""'corridos tumbados'""]",60
1077,Art & Dotty Todd,"[""'deep adult standards'""]",12
1078,Art Blakey,"[""'bebop'"", ""'contemporary post-bop'"", ""'cool jazz'"", ""'free jazz'"", ""'hard bop'"", ""'jazz'"", ""'jazz drums'"", ""'jazz fusion'"", ""'soul jazz'""]",13
1079,Art Blakey & The Jazz Messengers,"[""'bebop'"", ""'contemporary post-bop'"", ""'cool jazz'"", ""'free jazz'"", ""'hard bop'"", ""'jazz'"", ""'jazz drums'"", ""'jazz fusion'"", ""'soul jazz'""]",17
1080,Art Blakey Percussion Ensemble,"[""'ensemble'""]",15
1081,Art Blakey Quintet,"[""'bebop'"", ""'contemporary post-bop'"", ""'cool jazz'"", ""'hard bop'"", ""'jazz'""]",8
1082,Art Farmer,"[""'bebop'"", ""'contemporary post-bop'"", ""'cool jazz'"", ""'hard bop'"", ""'jazz'"", ""'jazz funk'"", ""'jazz trumpet'"", ""'soul jazz'"", ""'stride'""]",17
1083,Art Garfunkel,"[""'adult standards'"", ""'folk'"", ""'folk rock'"", ""'mellow gold'"", ""'soft rock'"", ""'traditional folk'""]",37
1084,Art Neville,"[""'new orleans funk'""]",40
1085,Art Of Dying,"[""'alternative metal'"", ""'christian alternative rock'"", ""'christian rock'"", ""'gymcore'"", ""'hard alternative'"", ""'nu metal'"", ""'post-grunge'"", ""'post-screamo'"", ""'rap rock'""]",47
1086,Art Pepper,"[""'bebop'"", ""'big band'"", ""'contemporary post-bop'"", ""'cool jazz'"", ""'hard bop'"", ""'jazz'"", ""'jazz saxophone'"", ""'soul jazz'""]",19
1087,Art Porter,"[""'smooth jazz'""]",35
1088,Art Tatum,"[""'bebop'"", ""'big band'"", ""'contemporary post-bop'"", ""'cool jazz'"", ""'hard bop'"", ""'jazz'"", ""'jazz piano'"", ""'stride'"", ""'swing'"", ""'vintage jazz'""]",22
1089,Art Taylor,"[""'hard bop'"", ""'jazz drums'""]",22
1090,Art Van Damme Quintet,"[""'jazz accordion'""]",9
1091,Art Wood,"[""'vintage rockabilly'""]",34
1092,Artemio Li Fonti,"[""'calming instrumental'""]",67
1093,Arthur Askey,"[""'music hall'""]",2
1094,Arthur Conley,"[""'classic soul'"", ""'motown'"", ""'soul'"", ""'southern soul'""]",37
1095,Arthur Fiedler,"[""'easy listening'""]",14
1096,Arthur Grumiaux,"[""'classical performance'"", ""'violin'""]",4
1097,Arthur Honegger,"[""'avant-garde'"", ""'classical'"", ""'early modern classical'"", ""'impressionism'"", ""'neoclassicism'""]",11
1098,Arthur Lee,"[""'psychedelic rock'""]",45
1099,Arthur Lyman,"[""'easy listening'"", ""'exotica'"", ""'jazz vibraphone'"", ""'lounge'""]",12
1100,Arthur Rubin,"[""'classical'"", ""'classical performance'"", ""'classical piano'""]",2
1101,Arthur Rubinstein,"[""'classical'"", ""'classical performance'"", ""'classical piano'""]",7
1102,Arthur Russell,"[""'ambient'"", ""'art pop'"", ""'art rock'"", ""'cello'"", ""'experimental'"", ""'fourth world'"", ""'freak folk'"", ""'minimalism'"", ""'slow core'""]",37
1103,Arthur Sullivan,"[""'late romantic era'"", ""'operetta'"", ""'victorian britain'""]",3
1104,Arthur Verocai,"[""'bossa nova'"", ""'brazilian jazz'"", ""'brazilian psychedelic'"", ""'jazz funk'"", ""'mpb'""]",36
1105,Artie Shaw,"[""'adult standards'"", ""'big band'"", ""'jazz clarinet'"", ""'lounge'"", ""'stride'"", ""'swing'"", ""'vocal jazz'""]",15
1106,Artifacts,"[""'alternative hip hop'"", ""'hardcore hip hop'"", ""'hip hop'"", ""'new jersey rap'"", ""'turntablism'""]",53
1107,Artist Vs Poet,"[""'alternative pop rock'"", ""'neon pop punk'"", ""'pop emo'"", ""'pop punk'"", ""'texas pop punk'""]",50
1108,"Artists Of Then, Now & Forever","[""'country'""]",59
1109,Artur Rodzinski,"[""'historic orchestral performance'""]",5
1110,Artur Schnabel,"[""'historic piano performance'""]",0
1111,Artura Ponce Valles,"[""'background music'"", ""'calming instrumental'""]",67
1112,Arturo Benedetti Michelangeli,"[""'classical performance'"", ""'classical piano'""]",0
1113,Arturo Toscanini,"[""'classical performance'"", ""'historic orchestral performance'"", ""'orchestral performance'""]",0
1114,Artus Moser,"[""'mountain dulcimer'""]",0
1115,Arun,"[""'scorecore'"", ""'soundtrack'"", ""'video game music'""]",0
1116,Arvo Pärt,"[""'baltic classical'"", ""'classical'"", ""'compositional ambient'"", ""'contemporary classical'"", ""'minimalism'""]",52
1117,Ary Barroso,"[""'bossa nova'"", ""'choro'"", ""'samba'"", ""'velha guarda'""]",21
1118,As Blood Runs Black,"[""'deathcore'"", ""'melodic deathcore'"", ""'melodic metalcore'"", ""'metalcore'""]",43
1119,As I Lay Dying,"[""'alternative metal'"", ""'christian metal'"", ""'melodic metalcore'"", ""'metalcore'"", ""'nu metal'""]",48
1120,Asaf Avidan & the Mojos,"[""'israeli pop'""]",66
1121,Ascend The Hill,"[""'anthem worship'"", ""'christian uplift'"", ""'deep ccm'"", ""'roots worship'""]",45
1122,Ash,"[""'dance pop'"", ""'hip hop'"", ""'hip pop'"", ""'pop'"", ""'r&b'"", ""'rap'"", ""'southern hip hop'"", ""'urban contemporary'""]",57
1123,Asha Bhosle,"[""'chutney'"", ""'classic bollywood'"", ""'desi pop'"", ""'filmi'"", ""'ghazal'"", ""'indian folk'"", ""'modern bollywood'"", ""'sufi'""]",4
1124,Asha Puthli,"[""'indian jazz'""]",39
1125,Ashana,"[""'healing'"", ""'kirtan'"", ""'meditation'"", ""'shamanic'""]",51
1126,Ashanti,"[""'dance pop'"", ""'hip hop'"", ""'hip pop'"", ""'pop'"", ""'r&b'"", ""'rap'"", ""'southern hip hop'"", ""'urban contemporary'""]",55
1127,Ashe,"[""'indie pop'""]",65
1128,Asher D,"[""'grime'"", ""'old school uk hip hop'""]",51
1129,Asher Roth,"[""'alternative hip hop'"", ""'indie pop rap'"", ""'pop rap'"", ""'rap'""]",63
1130,Ashes Remain,"[""'christian alternative rock'"", ""'christian rock'"", ""'post-grunge'""]",51
1131,Ashford & Simpson,"[""'classic soul'"", ""'disco'"", ""'funk'"", ""'jazz funk'"", ""'motown'"", ""'post-disco'"", ""'quiet storm'"", ""'soul'"", ""'urban contemporary'""]",34
1132,Ashlee Simpson,"[""'dance pop'"", ""'electropop'"", ""'pop rock'"", ""'post-teen pop'""]",43
1133,Ashley Lilley,"[""'movie tunes'""]",64
1134,Ashley McBryde,"[""'arkansas country'"", ""'contemporary country'"", ""'country'"", ""'country pop'""]",66
1135,Ashley Monroe,"[""'contemporary country'"", ""'country'"", ""'country dawn'"", ""'country pop'""]",56
1136,Ashley Tisdale,"[""'dance pop'"", ""'pop'"", ""'post-teen pop'"", ""'viral pop'""]",52
1137,Ashnikko,"[""'escape room'"", ""'pop'""]",66
1138,Ashok Kumar,"[""'classic bollywood'"", ""'ghazal'""]",0
1139,Ashra,"[""'ambient'"", ""'berlin school'"", ""'canterbury scene'"", ""'experimental'"", ""'fourth world'"", ""'krautrock'"", ""'space rock'""]",31
1140,Asia,"[""'deep pop r&b'"", ""'dfw rap'"", ""'escape room'"", ""'trap queen'""]",36
1141,Asian Doll,"[""'deep pop r&b'"", ""'dfw rap'"", ""'escape room'"", ""'trap queen'""]",62
1142,Asin,"[""'classic opm'"", ""'manila sound'"", ""'opm'""]",47
1143,Asking Alexandria,"[""'metalcore'"", ""'trancecore'"", ""'uk metalcore'""]",52
1144,Aslan,"[""'classic persian pop'"", ""'persian traditional'""]",51
1145,Asleep At The Wheel,"[""'country rock'"", ""'texas country'""]",27
1146,Aso,"[""'chillhop'"", ""'lo-fi beats'""]",63
1147,Assorted Jelly Beans,"[""'crack rock steady'"", ""'modern ska punk'"", ""'ska'"", ""'ska punk'""]",38
1148,Astar Shamir,"[""'classic israeli pop'""]",39
1149,Astor Piazzolla,"[""'bandoneon'"", ""'latin classical'"", ""'nuevo tango'"", ""'tango'""]",1
1150,Astrid S,"[""'dance pop'"", ""'electropop'"", ""'norwegian pop'"", ""'pop'"", ""'post-teen pop'"", ""'swedish pop'"", ""'tropical house'""]",68
1151,Astrid Varnay,"[""'classical soprano'""]",0
1152,Astron,"[""'background music'"", ""'focus'""]",62
1153,Astronomyy,"[""'indie poptimism'"", ""'vapor pop'"", ""'vapor soul'""]",69
1154,Astrud Gilberto,"[""'adult standards'"", ""'bossa nova'"", ""'brazilian jazz'"", ""'lounge'"", ""'vocal jazz'""]",33
1155,Aswad,"[""'dub'"", ""'lovers rock'"", ""'reggae'"", ""'roots reggae'"", ""'uk reggae'""]",36
1156,Asylum Choir,"[""'choir'""]",19
1157,At The Drive In,"[""'alternative metal'"", ""'alternative rock'"", ""'dance-punk'"", ""'el paso indie'"", ""'emo'"", ""'indie rock'"", ""'modern rock'"", ""'post-hardcore'""]",38
1158,At The Gates,"[""'death metal'"", ""'gothenburg metal'"", ""'melodic death metal'"", ""'metal'"", ""'swedish death metal'"", ""'swedish metal'""]",46
1159,Ataulfo Alves,"[""'samba'"", ""'velha guarda'""]",24
1160,Ataúlfo Argenta,"[""'historic orchestral performance'"", ""'spanish classical'""]",9
1161,Aterciopelados,"[""'colombian rock'"", ""'cumbia'"", ""'latin'"", ""'latin alternative'"", ""'latin pop'"", ""'latin rock'"", ""'rock en espanol'""]",52
1162,Atlanta,"[""'album rock'"", ""'blues rock'"", ""'classic rock'"", ""'country rock'"", ""'folk rock'"", ""'hard rock'"", ""'heartland rock'"", ""'mellow gold'"", ""'rock'"", ""'soft rock'"", ""'southern rock'"", ""'yacht rock'""]",31
1163,Atlanta Rhythm Section,"[""'album rock'"", ""'blues rock'"", ""'classic rock'"", ""'country rock'"", ""'folk rock'"", ""'hard rock'"", ""'heartland rock'"", ""'mellow gold'"", ""'rock'"", ""'soft rock'"", ""'southern rock'"", ""'yacht rock'""]",33
1164,Atlantic Starr,"[""'disco'"", ""'funk'"", ""'motown'"", ""'new jack swing'"", ""'post-disco'"", ""'quiet storm'"", ""'soul'"", ""'urban contemporary'""]",37
1165,Atlas,"[""'lo-fi beats'""]",55
1166,Atlas Genius,"[""'indie pop'"", ""'indie poptimism'"", ""'indie rock'"", ""'indietronica'"", ""'modern alternative rock'"", ""'modern rock'"", ""'pop rock'"", ""'shimmer pop'""]",54
1167,Atlas Sound,"[""'art pop'"", ""'atlanta indie'"", ""'chillwave'"", ""'freak folk'"", ""'garage psych'"", ""'indie pop'"", ""'indie rock'"", ""'indietronica'"", ""'lo-fi'"", ""'modern dream pop'"", ""'noise pop'"", ""'nu gaze'""]",44
1168,Atmosphere,"[""'alternative hip hop'"", ""'conscious hip hop'"", ""'minnesota hip hop'"", ""'pop rap'""]",45
1169,Atomic Kitten,"[""'bubblegum dance'"", ""'candy pop'"", ""'dance pop'"", ""'europop'"", ""'girl group'""]",64
1170,Atomic Rooster,"[""'art rock'"", ""'blues rock'"", ""'british blues'"", ""'canterbury scene'"", ""'hard rock'"", ""'progressive rock'"", ""'psychedelic blues-rock'"", ""'psychedelic rock'"", ""'symphonic rock'""]",35
1171,Atreyu,"[""'alternative metal'"", ""'melodic metalcore'"", ""'metalcore'"", ""'nu metal'"", ""'post-grunge'"", ""'rap rock'"", ""'screamo'""]",45
1172,Attack Attack!,"[""'downtempo'"", ""'electronica'"", ""'trip hop'""]",48
1173,Attaque 77,"[""'argentine punk'"", ""'argentine rock'"", ""'latin alternative'"", ""'latin rock'"", ""'rock en espanol'"", ""'ska argentino'""]",58
1174,Attila,"[""'deathcore'"", ""'melodic metalcore'"", ""'metalcore'"", ""'nu-metalcore'"", ""'rap metal'"", ""'screamo'""]",48
1175,Au/Ra,"[""'deep pop edm'"", ""'indie poptimism'"", ""'pop'""]",68
1176,Audien,"[""'big room'"", ""'edm'"", ""'electro house'"", ""'pop edm'"", ""'progressive electro house'"", ""'progressive house'"", ""'tropical house'""]",57
1177,Audio Adrenaline,"[""'ccm'"", ""'christian alternative rock'"", ""'christian music'"", ""'christian rock'"", ""'worship'""]",41
1178,Audio Two,"[""'electro'"", ""'hip hop'"", ""'old school hip hop'""]",43
1179,Audiodub,"[""'reggae rock'"", ""'west coast reggae'""]",49
1180,Audiomachine,"[""'epicore'"", ""'scorecore'"", ""'video game music'""]",58
1181,Audioslave,"[""'alternative metal'"", ""'alternative rock'"", ""'modern rock'"", ""'nu metal'"", ""'permanent wave'"", ""'post-grunge'"", ""'rock'"", ""'supergroup'""]",53
1182,Audra Mae,"[""'alternative roots rock'""]",55
1183,Audrey Assad,"[""'anthem worship'"", ""'ccm'"", ""'christian alternative rock'"", ""'christian music'"", ""'indiecoustica'"", ""'roots worship'"", ""'world worship'"", ""'worship'""]",50
1184,Audrey Hepburn,"[""'hollywood'"", ""'vintage hollywood'""]",25
1185,Audrey Mika,"[""'pop'""]",70
1186,Augie Rios,"[""'novelty'""]",25
1187,August Alsina,"[""'dance pop'"", ""'deep pop r&b'"", ""'pop'"", ""'pop rap'"", ""'r&b'"", ""'southern hip hop'"", ""'trap'"", ""'urban contemporary'""]",58
1188,August Burns Red,"[""'christian metal'"", ""'deathcore'"", ""'melodic metalcore'"", ""'metalcore'"", ""'screamo'""]",44
1189,Augustana,"[""'acoustic pop'"", ""'neo mellow'"", ""'piano rock'"", ""'pop rock'""]",55
1190,Augustin Ramirez,"[""'tejano'""]",12
1191,Augustus Pablo,"[""'dub'"", ""'reggae'"", ""'rock steady'"", ""'roots reggae'"", ""'ska'""]",33
1192,Aurelio Voltaire,"[""'antiviral pop'"", ""'comic'"", ""'dark cabaret'"", ""'otacore'"", ""'steampunk'""]",47
1193,Aurora,"[""'norwegian pop'""]",46
1194,"Aurora Cattelani/Coro del Teatro alla Scala, Milano/Orchestra del Teatro alla Scala, Milano/Tullio Serafin","[""'orchestra'""]",0
1195,Aurra,"[""'boogie'"", ""'disco'"", ""'funk'"", ""'post-disco'"", ""'post-disco soul'""]",32
1196,Austin Burke,"[""'contemporary country'"", ""'country pop'""]",56
1197,Austin Mahone,"[""'dance pop'"", ""'pop'"", ""'post-teen pop'"", ""'viral pop'""]",60
1198,Austin Moon,"[""'post-teen pop'"", ""'social media pop'""]",49
1199,Austin Wintory,"[""'anime score'"", ""'indie game soundtrack'"", ""'scorecore'"", ""'soundtrack'"", ""'video game music'""]",57
1200,Australian Crawl,"[""'australian alternative rock'"", ""'australian rock'""]",53
1201,Austyn Johnson,"[""'show tunes'""]",66
1202,Autechre,"[""'abstract'"", ""'ambient'"", ""'ambient techno'"", ""'bass music'"", ""'deep idm'"", ""'drill and bass'"", ""'dub techno'"", ""'electro'"", ""'electronica'"", ""'experimental'"", ""'glitch'"", ""'intelligent dance music'"", ""'microhouse'"", ""'minimal techno'"", ""'ninja'"", ""'outsider house'"", ""'techno'"", ""'uk experimental electronic'""]",42
1203,Authority Zero,"[""'melodic hardcore'"", ""'modern ska punk'"", ""'punk'"", ""'ska punk'"", ""'skate punk'""]",47
1204,Autograf,"[""'deep tropical house'"", ""'edm'"", ""'electropop'"", ""'house'"", ""'indie poptimism'"", ""'indie soul'"", ""'indietronica'"", ""'nu disco'"", ""'pop edm'"", ""'tropical house'"", ""'vapor soul'"", ""'vapor twitch'""]",62
1205,Autograph,"[""'album rock'"", ""'glam metal'"", ""'hard rock'"", ""'sleaze rock'""]",37
1206,Autoheart,"[""'hopebeat'""]",49
1207,Autopilot Off,"[""'skate punk'""]",43
1208,Ava Gardner,"[""'vintage hollywood'""]",15
1209,Ava Max,"[""'dance pop'"", ""'pop'"", ""'post-teen pop'""]",78
1210,Avail,"[""'southern soul blues'""]",45
1211,Avalanche City,"[""'nz folk'""]",45
1212,Avant,"[""'dance pop'"", ""'deep pop r&b'"", ""'hip pop'"", ""'neo soul'"", ""'new jack swing'"", ""'pop rap'"", ""'r&b'"", ""'southern hip hop'"", ""'urban contemporary'""]",48
1213,Avatar,"[""'alternative metal'"", ""'gothenburg metal'"", ""'melodic death metal'"", ""'nu metal'""]",47
1214,Avenged Sevenfold,"[""'alternative metal'"", ""'nu metal'"", ""'post-grunge'""]",53
1215,Aventura,"[""'bachata'"", ""'latin'"", ""'latin hip hop'"", ""'latin pop'"", ""'tropical'""]",56
1216,Avenue Q Ensemble,"[""'broadway'"", ""'ensemble'""]",41
1217,Average White Band,"[""'disco'"", ""'funk'"", ""'jazz funk'"", ""'modern funk'"", ""'motown'"", ""'post-disco'"", ""'quiet storm'"", ""'soul'""]",28
1218,Avicii,"[""'big room'"", ""'dance pop'"", ""'edm'"", ""'pop'""]",57
1219,Avril Lavigne,"[""'canadian pop'"", ""'candy pop'"", ""'dance pop'"", ""'pop'"", ""'post-teen pop'""]",58
1220,Axel,"[""'icelandic folk'"", ""'icelandic indie'"", ""'indie anthem-folk'"", ""'indie folk'""]",52
1221,Axel Stordahl And His Orchestra,"[""'orchestra'""]",14
1222,Axel Stordahl Orchestra,"[""'orchestra'""]",21
1223,Axel Thesleff,"[""'bass trap'"", ""'finnish edm'""]",66
1224,Axwell,"[""'big room'"", ""'dance pop'"", ""'edm'"", ""'electro house'"", ""'pop'"", ""'tropical house'""]",59
1225,Axwell /\ Ingrosso,"[""'big room'"", ""'dance pop'"", ""'edm'"", ""'electro house'"", ""'pop'"", ""'tropical house'""]",77
1226,Ayah Marar,"[""'jordanian pop'""]",67
1227,Ayano Tsuji,"[""'japanese singer-songwriter'""]",52
1228,Ayden,"[""'polish post-rock'""]",51
1229,Ayla Nereo,"[""'folktronica'"", ""'shamanic'""]",51
1230,Ayo & Teo,"[""'social media pop'"", ""'trap'""]",74
1231,Ayub Ogada,"[""'afropop'"", ""'world'""]",46
1232,Ayumi Hamasaki,"[""'eurobeat'"", ""'j-idol'"", ""'j-pop'"", ""'japanese r&b'""]",52
1233,Az Yet,"[""'new jack swing'"", ""'r&b'"", ""'urban contemporary'""]",49
1234,AzChike,"[""'cali rap'"", ""'west coast trap'""]",54
1235,Azealia Banks,"[""'art pop'"", ""'bmore'"", ""'dance pop'"", ""'escape room'"", ""'hip house'"", ""'hip pop'"", ""'lgbtq+ hip hop'"", ""'pop'"", ""'pop rap'"", ""'trap queen'""]",53
1236,Azizi Gibson,"[""'deep underground hip hop'"", ""'rap'"", ""'underground hip hop'""]",56
1237,Aztec Camera,"[""'art rock'"", ""'britpop'"", ""'dance rock'"", ""'melancholia'"", ""'new romantic'"", ""'new wave'"", ""'new wave pop'"", ""'scottish new wave'"", ""'synthpop'""]",33
1238,Azucar Moreno,"[""'spanish pop'"", ""'spanish pop rock'""]",51
1239,Azucena Maizani,"[""'tango'"", ""'vintage tango'""]",0
1240,Azul Violeta,"[""'latin alternative'"", ""'latin rock'"", ""'mexican rock'"", ""'rock en espanol'""]",45
1241,Azumi Inoue,"[""'japanese instrumental'""]",43
1242,Azymuth,"[""'bossa nova'"", ""'brazilian boogie'"", ""'brazilian psychedelic'"", ""'indie jazz'"", ""'jazz funk'""]",33
1243,Aşık Veysel,"[""'turkish folk'""]",1
1244,B!G,"[""'contemporary country'"", ""'country'"", ""'country road'"", ""'modern country rock'""]",32
1245,B*Witched,"[""'bubblegum dance'"", ""'dance pop'"", ""'europop'"", ""'girl group'""]",45
1246,B-Legit,"[""'cali rap'"", ""'g funk'"", ""'gangster rap'"", ""'hyphy'"", ""'west coast rap'"", ""'west coast trap'""]",35
1247,B-Real,"[""'chicano rap'"", ""'west coast rap'""]",48
1248,B. B. & Q. Band,"[""'post-disco'"", ""'post-disco soul'""]",29
1249,B.B. King,"[""'blues'"", ""'blues rock'"", ""'classic rock'"", ""'electric blues'"", ""'jazz blues'"", ""'soul blues'"", ""'traditional blues'""]",24
1250,B.G.,"[""'deep southern trap'"", ""'dirty south rap'"", ""'gangster rap'"", ""'new orleans rap'"", ""'pop rap'"", ""'rap'"", ""'southern hip hop'"", ""'trap'""]",42
